title,word,frequency
Twelfth Night,bummed,1
Twelfth Night,busy,1
Twelfth Night,buy,1
Twelfth Night,call,1
Twelfth Night,called,1
Twelfth Night,cared,1
Twelfth Night,career,1
Twelfth Night,castrated,1
Twelfth Night,catholic,1
Twelfth Night,caught,1
Twelfth Night,caused,1
Twelfth Night,causing,1
Twelfth Night,celebrate,1
Twelfth Night,celebrates,1
Twelfth Night,celebration,1
Twelfth Night,challenging,1
Twelfth Night,changes,1
Twelfth Night,check,1
Twelfth Night,chock,1
Twelfth Night,christian,1
Twelfth Night,church,1
Twelfth Night,circulate,1
Twelfth Night,clearly,1
Twelfth Night,climbing,1
Twelfth Night,clingy,1
Twelfth Night,closely,1
Twelfth Night,closes,1
Twelfth Night,colossal,1
Twelfth Night,comedic,1
Twelfth Night,coming,1
Twelfth Night,commands,1
Twelfth Night,comment,1
Twelfth Night,comments,1
Twelfth Night,companies,1
Twelfth Night,company,1
Twelfth Night,competent,1
Twelfth Night,complex,1
Twelfth Night,complications,1
Twelfth Night,component,1
Twelfth Night,composed,1
Twelfth Night,conceal,1
Twelfth Night,concealed,1
Twelfth Night,concerns,1
Twelfth Night,conclusion,1
Twelfth Night,confessed,1
Twelfth Night,confesses,1
Twelfth Night,confused,1
Twelfth Night,confusion,1
Twelfth Night,connected,1
Twelfth Night,conquer,1
Twelfth Night,consideration,1
Twelfth Night,consists,1
Twelfth Night,constant,1
Twelfth Night,constructed,1
Twelfth Night,contact,1
Twelfth Night,contain,1
Twelfth Night,continue,1
Twelfth Night,controversies,1
Twelfth Night,conventional,1
Twelfth Night,cool,1
Twelfth Night,cooperate,1
Twelfth Night,correct,1
Twelfth Night,corrupted,1
Twelfth Night,cost,1
Twelfth Night,count,1
Twelfth Night,couples,1
Twelfth Night,couplings,1
Twelfth Night,courtship,1
Twelfth Night,cozy,1
Twelfth Night,cracks,1
Twelfth Night,creates,1
Twelfth Night,creating,1
Twelfth Night,credibility,1
Twelfth Night,criticisms,1
Twelfth Night,criticizes,1
Twelfth Night,critique,1
Twelfth Night,crossed,1
Twelfth Night,crossing,1
Twelfth Night,cruel,1
Twelfth Night,crushing,1
Twelfth Night,crying,1
Twelfth Night,culture,1
Twelfth Night,cultures,1
Twelfth Night,curb,1
Twelfth Night,curse,1
Twelfth Night,dearly,1
Twelfth Night,deceptions,1
Twelfth Night,deceptive,1
Twelfth Night,declaration,1
Twelfth Night,declares,1
Twelfth Night,declaring,1
Twelfth Night,deep,1
Twelfth Night,defies,1
Twelfth Night,delight,1
Twelfth Night,delightful,1
Twelfth Night,delusion,1
Twelfth Night,demeanor,1
Twelfth Night,demonic,1
Twelfth Night,demonstrates,1
Twelfth Night,depending,1
Twelfth Night,depicts,1
Twelfth Night,describes,1
Twelfth Night,desperate,1
Twelfth Night,desperation,1
Twelfth Night,despite,1
Twelfth Night,destiny,1
Twelfth Night,determination,1
Twelfth Night,diary,1
Twelfth Night,died,1
Twelfth Night,difficulties,1
Twelfth Night,disapproves,1
Twelfth Night,discover,1
Twelfth Night,discussed,1
Twelfth Night,disdainful,1
Twelfth Night,disease,1
Twelfth Night,dismayed,1
Twelfth Night,disruptively,1
Twelfth Night,ditch,1
Twelfth Night,divide,1
Twelfth Night,documents,1
Twelfth Night,dog,1
Twelfth Night,dolefully,1
Twelfth Night,domain,1
Twelfth Night,doo,1
Twelfth Night,dragged,1
Twelfth Night,drags,1
Twelfth Night,drawing,1
Twelfth Night,drawn,1
Twelfth Night,draws,1
Twelfth Night,dreaming,1
Twelfth Night,dreams,1
Twelfth Night,dresses,1
Twelfth Night,drink,1
Twelfth Night,drivers,1
Twelfth Night,drop,1
Twelfth Night,drunk,1
Twelfth Night,drunkard,1
Twelfth Night,drunken,1
Twelfth Night,ducal,1
Twelfth Night,due,1
Twelfth Night,dummy,1
Twelfth Night,earlier,1
Twelfth Night,earn,1
Twelfth Night,easy,1
Twelfth Night,eat,1
Twelfth Night,echoes,1
Twelfth Night,efforts,1
Twelfth Night,eggs,1
Twelfth Night,egotism,1
Twelfth Night,egotist,1
Twelfth Night,elaborate,1
Twelfth Night,element,1
Twelfth Night,else,1
Twelfth Night,embittered,1
Twelfth Night,embody,1
Twelfth Night,employee,1
Twelfth Night,employment,1
Twelfth Night,enamoured,1
Twelfth Night,encountering,1
Twelfth Night,encounters,1
Twelfth Night,enemies,1
Twelfth Night,engineers,1
Twelfth Night,ensues,1
Twelfth Night,enter,1
Twelfth Night,enters,1
Twelfth Night,entertain,1
Twelfth Night,entertaining,1
Twelfth Night,entertains,1
Twelfth Night,entrusting,1
Twelfth Night,epiphany,1
Twelfth Night,equally,1
Twelfth Night,erotic,1
Twelfth Night,erotics,1
Twelfth Night,estate,1
Twelfth Night,etc,1
Twelfth Night,eventually,1
Twelfth Night,every,1
Twelfth Night,evil,1
Twelfth Night,exact,1
Twelfth Night,examine,1
Twelfth Night,examines,1
Twelfth Night,excellent,1
Twelfth Night,exception,1
Twelfth Night,excessive,1
Twelfth Night,excessively,1
Twelfth Night,exclusionary,1
Twelfth Night,exorcism,1
Twelfth Night,expected,1
Twelfth Night,explain,1
Twelfth Night,explains,1
Twelfth Night,explanation,1
Twelfth Night,explicit,1
Twelfth Night,exposed,1
Twelfth Night,extract,1
Twelfth Night,fades,1
Twelfth Night,failing,1
Twelfth Night,faith,1
Twelfth Night,fall,1
Twelfth Night,fallen,1
Twelfth Night,falling,1
Twelfth Night,falsely,1
Twelfth Night,famous,1
Twelfth Night,fancy,1
Twelfth Night,fantasy,1
Twelfth Night,fawns,1
Twelfth Night,features,1
Twelfth Night,fed,1
Twelfth Night,feeling,1
Twelfth Night,feelings,1
Twelfth Night,feels,1
Twelfth Night,fell,1
Twelfth Night,feminine,1
Twelfth Night,fesses,1
Twelfth Night,festivals,1
Twelfth Night,festive,1
Twelfth Night,festivity,1
Twelfth Night,fibs,1
Twelfth Night,filled,1
Twelfth Night,finger,1
Twelfth Night,firm,1
Twelfth Night,firmly,1
Twelfth Night,fished,1
Twelfth Night,fixed,1
Twelfth Night,flips,1
Twelfth Night,flood,1
Twelfth Night,fluidity,1
Twelfth Night,follies,1
Twelfth Night,follow,1
Twelfth Night,followed,1
Twelfth Night,foolery,1
Twelfth Night,fooling,1
Twelfth Night,fools,1
Twelfth Night,force,1
Twelfth Night,forces,1
Twelfth Night,forget,1
Twelfth Night,formulaic,1
Twelfth Night,forsaken,1
Twelfth Night,fraternal,1
Twelfth Night,freeing,1
Twelfth Night,freely,1
Twelfth Night,friendly,1
Twelfth Night,friends,1
Twelfth Night,friendship,1
Twelfth Night,front,1
Twelfth Night,function,1
Twelfth Night,funny,1
Twelfth Night,furious,1
Twelfth Night,gartered,1
Twelfth Night,garters,1
